🚀 Starting Soak Test: duration=180 s
Module Manager initialized successfully
[MODULE] Communication manager status check: result=-3, status=-1795186560
[MODULE] Module discovery blocked: communication manager not ready
[SOAK] t=1s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=2s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=3s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=4s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=5s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=6s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=7s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=8s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=9s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=10s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=11s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=12s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=13s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=14s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=15s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=16s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=17s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=18s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=19s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=20s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=21s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=22s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=23s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=24s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=25s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=26s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=27s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=28s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=29s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=30s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=31s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=32s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=33s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=34s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=35s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=36s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=37s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=38s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=39s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=40s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=41s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=42s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=43s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=44s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=45s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=46s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=47s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=48s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=49s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=50s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=51s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=52s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=53s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=54s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=55s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=56s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=57s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=58s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=59s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=60s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=61s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=62s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=63s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=64s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=65s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=66s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=67s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=68s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=69s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=70s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=71s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=72s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=73s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=74s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=75s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=76s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=77s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=78s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=79s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=80s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=81s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=82s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=83s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=84s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=85s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=86s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=87s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=88s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=89s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=90s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=91s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=92s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=93s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=94s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=95s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=96s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=97s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=98s timeouts=0 crc=0 flap=0 rss=580 kB
